Pair_ID,Case_Study,Source_Requirement_ID,ArgRE_Text,NoAF_Text,Identical,ArgRE_Run_ID,NoAF_Run_ID,ArgRE_Seed,NoAF_Seed
AD-P01,AD,SUS-L2-003-03,It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.,It must execute an MRM to safely pull over or stop in a low-risk zone within a specific time window.,yes,argre_af_preferred-ad-s101,argre_noaf_original-ad-s101,101,101
AD-P02,AD,RES-L1-005,Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).,Step 1 (E-step): Generate an optimal path in the Frenet Frame (SL-Graph).,yes,argre_af_preferred-ad-s101,argre_noaf_original-ad-s101,101,101
AD-P03,AD,SUS-L2-003-04,ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.,ODD (Operational Design Domain): - The system operates in specific urban and highway scenarios.,yes,argre_af_preferred-ad-s101,argre_noaf_original-ad-s101,101,101
AD-P04,AD,EFF-L2-002-02,"[Conflict Scenario for Negotiation] - The SafetyAgent prioritizes ""Passive Safety"" and strictly enforcing safe distances and MRM execution.",[System Context] The system is a Level 4 autonomous driving platform operating in mixed traffic environments.,no,argre_af_preferred-ad-s202,argre_noaf_original-ad-s101,202,101
AD-P05,AD,EFF-L2-002-03,"The EfficiencyAgent prioritizes ""Smoothness"" and ""Speed"" using the QP function to minimize Jerk.","It must strictly adhere to the ""Apollo Pilot Safety Report"" and the ""EM Motion Planner"" specifications.",no,argre_af_preferred-ad-s202,argre_noaf_original-ad-s101,202,101
ATM-P01,ATM,RES-L1-005,"If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.","If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.",yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P02,ATM,TRU-L1-004,Neither a checking-account nor a saving-account can have a negative balance.,Neither a checking-account nor a saving-account can have a negative balance.,yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P03,ATM,SUS-L2-003-05,The bank client must be able to deposit an amount to and withdraw an amount from his or her accounts using the bank application.,"If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.",no,argre_af_preferred-atm-s202,argre_noaf_original-atm-s101,202,101
ATM-P04,ATM,SAF-L2-001-03,A bank client can have two types of accounts.,A bank client can have two types of accounts.,yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P05,ATM,RES-L2-005-04,"Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.",yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P06,ATM,SUS-L2-003-04,"If the saving-account balance is insufficient to cover the requested withdrawal amount, the application should inform the user and terminate the transaction.",The application should automatically withdraw funds from a related saving-account if the requested withdrawal amount on the checking-account is more than its current balance.,no,argre_af_preferred-atm-s202,argre_noaf_original-atm-s101,202,101
ATM-P07,ATM,SAF-L2-001-02,"Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.","Recorded transactions must include the date, time, transaction type, amount and account balance after the transaction.",yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P08,ATM,SAF-L2-001-01,"Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account.","Each transaction must be recorded, and the client must have the ability to review all transactions performed against a given account.",yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P09,ATM,EFF-L2-002-02,A checking-account and a saving-account.,A checking-account and a saving-account.,yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
ATM-P10,ATM,EFF-L2-002-03,"For each checking account, one related saving-account can exists.","For each checking account, one related saving-account can exists.",yes,argre_af_preferred-atm-s101,argre_noaf_original-atm-s101,101,101
Bookkeeping-P01,Bookkeeping,EFF-L2-002-04,A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.,yes,argre_af_preferred-bookkeeping-s101,argre_noaf_original-bookkeeping-s101,101,101
Bookkeeping-P02,Bookkeeping,TRU-L2-004-06,A bookkeeping system must record financial transactions including income and expenses.,A bookkeeping system must record financial transactions including income and expenses.,yes,argre_af_preferred-bookkeeping-s202,argre_noaf_original-bookkeeping-s202,202,202
Bookkeeping-P03,Bookkeeping,RES-L2-005-04,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,yes,argre_af_preferred-bookkeeping-s101,argre_noaf_original-bookkeeping-s101,101,101
Bookkeeping-P04,Bookkeeping,SUS-L2-003-01,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,The system must ensure double-entry bookkeeping principles are followed and maintain an audit trail of all transactions.,yes,argre_af_preferred-bookkeeping-s101,argre_noaf_original-bookkeeping-s101,101,101
Bookkeeping-P05,Bookkeeping,SUS-L2-003-02,The system must support multiple currencies and handle currency conversion.,The system must support multiple currencies and handle currency conversion.,yes,argre_af_preferred-bookkeeping-s101,argre_noaf_original-bookkeeping-s101,101,101
Bookkeeping-P06,Bookkeeping,TRU-L2-004-04,"Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements.","Users must be able to generate financial reports such as balance sheets, income statements, and cash flow statements.",yes,argre_af_preferred-bookkeeping-s101,argre_noaf_original-bookkeeping-s101,101,101
